,RECIPE,RECIPE_LINK
0,MILLET KHEER,https://food.ndtv.com/recipe-millet-kheer-958604
1,KHAMAN DHOKLA,https://food.ndtv.com/recipe-khaman-dhokla-958603
2,ENNAI KATHRIKAI KULAMBU,https://food.ndtv.com/recipe-ennai-kathrikai-kulambu-958601
3,BEETROOT KOFTA CURRY,https://food.ndtv.com/recipe-beetroot-kofta-curry-958599
4,KONKANI FRIED CHICKEN,https://food.ndtv.com/recipe-konkani-fried-chicken-958592
5,MANGO KIWI CHUTNEY,https://food.ndtv.com/recipe-mango-kiwi-chutney-958590
6,NALLI GOSHT BIRYANI,https://food.ndtv.com/recipe-nalli-gosht-biryani-958575
7,HYDERABADI PASINDAY,https://food.ndtv.com/recipe-hyderabadi-pasinday-958510
8,RAJGIRA CHIKKI,https://food.ndtv.com/recipe-rajgira-chikki-958478
9,LASOONI DAHI TADKA,https://food.ndtv.com/recipe-lasooni-dahi-tadka-958474
10,BEETROOT IDLI FRY,https://food.ndtv.com/recipe-beetroot-idli-fry-958470
11,HIMACHALI CHICKEN CURRY,https://food.ndtv.com/recipe-himachali-chicken-curry-958469
12,COCONUT RABRI,https://food.ndtv.com/recipe-coconut-rabri-958465
13,GONGURA CHICKEN CURRY,https://food.ndtv.com/recipe-gongura-chicken-curry-958462
14,SHALJAM GOSHT,https://food.ndtv.com/recipe-shaljam-gosht-958461
15,TOMATO PACHADI,https://food.ndtv.com/recipe-tomato-pachadi-958459
16,VENDAKKAI THENGA CURRY,https://food.ndtv.com/recipe-vendakkai-thenga-curry-958454
17,CHICKPEAS TIKKA MASALA,https://food.ndtv.com/recipe-chickpeas-tikka-masala-958453
18,STUFFED PALAK IDLI,https://food.ndtv.com/recipe-stuffed-palak-idli-958440
19,HARYANVI KADHI,https://food.ndtv.com/recipe-haryanvi-kadhi-958438
20,AMRITSARI SOOKHI DAL,https://food.ndtv.com/recipe-amritsari-sookhi-dal-958430
21,LOW CALORIE TEEN RATNA DAL,https://food.ndtv.com/recipe-low-calorie-teen-ratna-dal-958420
22,BEETROOT HALWA,https://food.ndtv.com/recipe-beetroot-halwa-958414
23,MULTIGRAIN LADDU,https://food.ndtv.com/recipe-multigrain-laddu-958412
24,KALAKAND,https://food.ndtv.com/recipe-kalakand-958410
25,KERALA-STYLE MUTTON CURRY,https://food.ndtv.com/recipe-kerala-style-mutton-curry-958405
26,BHAPA DOI ,https://food.ndtv.com/recipe-bhapa-doi-958400
27,ACHAARI LACHHA PARATHA,https://food.ndtv.com/recipe-achaari-lachha-paratha-958386
28,RAGI PARATHA,https://food.ndtv.com/recipe-ragi-paratha-958381
29,PUNJABI BAIGAN BHARTA,https://food.ndtv.com/recipe-punjabi-baigan-bharta-958371
30,BAINGAN SAMBHAR,https://food.ndtv.com/recipe-baingan-sambhar-958369
31,JAGGERY MALPUA,https://food.ndtv.com/recipe-jaggery-malpua-958362
32,SATTU KACHORI,https://food.ndtv.com/recipe-sattu-kachori-958361
33,KEERAI VADAI (SPINACH VADA),https://food.ndtv.com/recipe-keerai-vadai-spinach-vada-958353
34,KUMAONI JHOLI,https://food.ndtv.com/recipe-kumaoni-jholi-958347
35,CHILLI CHEESE GARLIC PARATHA,https://food.ndtv.com/recipe-chilli-cheese-garlic-paratha-958345
36,CHILKA ROTI,https://food.ndtv.com/recipe-chilka-roti-958339
37,GIRMIT,https://food.ndtv.com/recipe-girmit-958338
38,GUR CHOORMA LADOO,https://food.ndtv.com/recipe-gur-choorma-ladoo-958337
39,OBBATTU,https://food.ndtv.com/recipe-obbattu-958335
